"CellType" "Acurrent" "TailCurrent" "Leak" "Ccell" "Raccess" "V2h" "kh" "Imax"
"1" "D" "no" "yes" -13.41 4.046 24 -26.2409 5.3095 -266.5172
"2" "D" "no" "yes" -20.2 3.067 21.87 -32.235 5.471 -451.5
"3" "D" "no" "yes" -9.007 4.352 20.78 -33.012 6.856 -475.156
"4" "D" "no" "yes" -11.85 4.643 19.69 -30.877 6.162 -1267.2
"5" "D" "no" "no" -11.75 5.047 29.06 -87.59 12.255 -592.875
"6" "D" "no" "yes" -37.72 3.002 18.62 -93.954 17.279 -561.563
"7" "D" "no" "yes" -6.261 3.607 21.08 -79.976 18.237 -736.875
"8" "D" "no" "yes" -7.235 3.976 24.9 -32.968 6.601 -864.313
"9" "D" "no" "yes" -13.84 2.65 34.71 -33.058 5.608 -1043.9
"10" "D" "no" "yes" -9.177 4.337 18.75 -35.623 7.389 -589.875
"11" "D" "no" "yes" -7.363 3.421 49 -30.195 4.322 -1210.4
"12" "D" "no" "yes" -22.11 3.704 46.73 -28.692 3.938 -697.688
"13" "D" "no" "yes" -15.68 3.447 28.18 -29.453 3.821 -1053.3
"14" "D" "no" "yes" -48.22 3.212 20.52 -36.418 5.954 -692.875
"15" "D" "no" "yes" -14.06 4.156 36.66 -36.864 7.56 -386.75
"16" "D" "no" "yes" -25.2 5.054 23.18 -27.631 4.785 -1314.3
"17" "D" "no" "yes" -32.9 4.052 23.3 -34.746 7.458 -767.375
"18" "D" "no" "yes" -87.85 5.262 21.57 -89.041 10.404 -1127.8
"19" "D" "no" "yes" -9.548 3.525 19.56 -33.225 7.115 -1011.1
"20" "D" "no" "yes" -11.47 3.56 21.68 -35.557 7.068 -812.375
"21" "D" "no" "yes" -7.758 2.982 28.06 -33.855 7.676 -323.25
"22" "D" "no" "yes" -4.027 2.888 31.98 -31.468 7.013 -310.563
"23" "D" "no" "yes" -30.83 2.744 27.07 -33.214 6.45 -710.375
"24" "D" "no" "yes" -9.313 5.452 15.96 -39.926 8.584 -1310.3
"25" "D" "no" "yes" -83.53 3.921 29.7 -29.723 5.05 -697
"26" "D" "no" "yes" -17.67 5.8 21.66 -58.662 10.36 -479.313
"27" "D" "no" "yes" -33.08 4.953 15.91 -42.695 10.074 -1071.7
"28" "D" "no" "yes" -59.24 4.268 27.94 -40.388 9.432 -1238.9
